id,grade,q,choice1,choice2,choice3,choice4,answer,exp,tags,img
50,1,この国では、民間企業による雇用拡大が国家的課題である。 ２０１３年時点で、政府雇用者は全体の何%を占めているか？,30%,50%,60%,80%,2,,,
51,1,近年、外国への移住者が増加傾向にある。最も人気な移住先はどこか？,ハワイ,グアム,北マリアナ諸島,パラオ共和国,2,,,
52,1,２０２０年時点で、国外へ移住をした人口はどのくらいか？,約3万人,約５万人,約7万人,約10万人,2,,,
53,1,チューク州沖には横浜にある氷川丸の姉妹船が沈んでいる。この船の名称は？,筑紫丸,名古屋丸,日枝丸,平安丸,4,,,
54,1,国内唯一の父系（資産や権利、地位の継承が父方の血筋で行われる）社会である州はどれか？,ヤップ州,チューク州,ポンペイ州,コスラエ州,1,,,
55,2,この国唯一の高等教育機関の名前は？,Pacific Island Central School,Mackwelung University,College of Micronesia,FSM Polytechnic Institute,3,,,
56,3,ポンペイで、儀式の際によく飲まれる飲み物を、何と呼ばれているか？,カヴァ（Kava）,ヤンゴーナ（yaqona）,サカウ（Skau）,マレフ（m'al?h）,3,,,
57,2,チューク州では写真のようなアイテムが魔除けとして使われている。この名前は何か。,カナガ,デビルマスク,マッドメン,ドゥクドゥクマスク,2,,,
58,3,ポンペイで栽培されており、お土産としても人気な名産品は？,タロイモ,コショウ,米,ココナッツ,2,,,
59,1,カロリン諸島には、今いる島と目標の島の他に第3の島を設定して、現在地と目的地との距離を推測する伝統航法がある。これの名称は？,天測航法,月距法,エタック航法,ウォファヌ航法,3,,,
60,2,フィリピン海プレートの火山噴火により隆起した洋島で構成される州は？,ヤップ州,チューク州,ポンペイ州,コスラエ州,1,,,
61,2,ポンペイ州にあるナンマトル遺跡は、観光名所としての別名がある。それは何か？,太平洋のマチュピチュ,海上のアンコールワット,南海のベニス,浮かぶグレート・ジンバブエ遺跡,3,,,
62,1,ナンマトル遺跡の建築材料として主なものは何か？,安山岩,凝灰岩,玄武岩,黒曜岩,3,,,
63,1,ポンペイ島で見られる、1800年代の城砦跡は何と呼ばれるか？,アプガン砦,スペイン（アルフォンス）砦,スクラッチェリー砦,ソレダッド砦,2,,,
64,1,この国の気候は、どのグループに属するか？,温帯夏雨気候,温暖湿潤気候,熱帯雨林気候,熱帯季節風気候,3,,,
65,1,現在、国内人口のうち日系人が占める割合はどの程度か？,1割,2割,3割,4割,2,,,
66,1,2023年時点の国の経済成長率はどれか？,0.80%,2.20%,4.10%,7.50%,1,,,
67,3,明治時代にミクロネシアに移住した日本人の一人として有名な、森小弁の出身地はどこか？,薩摩,肥前,土佐,三河,3,,,
68,1,日本統治時代、島の人々のために設置された初等教育の学校名は？,国民学校,国語伝習所,公学校,教育所,3,,,
69,2,2020年東京オリンピックで、島からの選手を受け入れるホストタウンとして登録された自治体は？,群馬県邑楽町、高知県高知市,秋田県秋田市、大分県大分市・別府市,福岡県柳川市・みやま市・みやこ町・築上町,群馬県富岡市、島根県海士町,4,,,
70,2,ポンペイ島から７４０キロ離れた最南端に位置する環礁には、ポリネシア系住民が住んでいる。この環礁の名前は？,ウルシー環礁,ヌクオロ環礁,カピンガマランギ環礁,ヌグール環礁,3,,,
71,2,ヤップ石貨の価値は、どのような要素で決められたか？,大きさ,真円に近づける精巧さ,制作にかかった労力と犠牲,歴代所有者の社会的地位,3,,,
72,1,ヤップ州に出稼ぎにくる人が多い国はどこか。,パラオ,キリバス,ナウル,マーシャル諸島,1,,,
73,2,ポンペイ島で伝統的な冠婚葬祭を行う集会を何というか？,ファルー,カマテップ,ペバイ,ナーシュ,2,,,
74,1,現代の航法器具を使わず、星の位置や風向きなどで正確な航路を導き出す方法を何という？,スター･リーディング,ウェイ・ファインダー,ウィンド・コンパス,オーシャン・フォーシーイング,2,,,
75,1,星の位置や風向きなどで正確な航路を導く推測航法術の使い手で、これまでハワイ-タヒチ間の遠洋航海を3度も成功させたのは誰か？,ピアイルック,ワリリング,ファルーク,ポゥ,1,,,
76,1,ポンペイの各村には、様々な行事を集会場がある。その名は？,アバイ,ナーシュ,ブレ,ファルー,2,,,
77,2,ヤップ島にはライと呼ばれる石貨の他に、貝の貨幣がある。その名称は？,タフリアエ,バキハ,テヴァウ,ガウ,4,,,
78,1,ポンペイにあるナンマトル遺跡は幾つものの人工島で構成されている。その中央部にある石室墓の名は？,フォート,キャッスル,ナンタウアス,ケイブ,3,,,
79,1,ポンペイにある、ナンマトル遺跡を建てたと伝承される人物の名前は？,"ワーケア, パパハーナウモク","タンガロア, マウイ","タエマ, ティラファイガ","オロシーパ, オロショーパ",4,,,
80,1,2021年時点のOECD・DACリストで、この国はどこに位置づけをされているか？,後発開発途上国（LDC）,低所得国（LICs）,低中所得国（LMICs）,高中所得国（UMICs）,3,,,
81,1,日本政府がこの国へODAを開始したのはいつか？,1979年,1981年,1984年,1986年,2,,,
82,1,2020年度で、この国への経済支援額上位国（米・豪・NZ・韓・日）のうち、日本は何番目か？,1番目,2番目,3番目,4番目,2,,,
83,1,日本はこの国と漁業交渉を行っているが、最初に漁業協定を締結したのはいつか？,1971年,1979年,1984年,1990年,3,,,
84,1,駐日大使館の前身「駐日ミクロネシア連邦連絡事務所」が設置された年は？,1965年,1971年,1979年,1984年,4,,,
85,1,初代駐日大使を務めた人物は誰か？,ジョン・フリッツ,カシオ・ミダ,アリク・アリク,マサオ・ナカヤマ,4,,,
86,1,第2次世界大戦での戦時賠償について日米との間で取り決めた協定が1969年4月18日に調印された。その名称は。,日蜜米賠償協定,日米ミクロネシア協定,旧南洋群島における日米賠償協定,コロ二ア協定,2,,,
87,1,2018年から2022年の5年間で、日本から最も多く輸入したものは何か？,食料品,織物用糸・織物製品,電子機器,自動車,4,,,
88,1,2018年から2022年の5年間で、日本に輸出した魚介類の中で、最大のものは何か？,キハダマグロ,ビンナガマグロ,メバチマグロ,カツオ,1,,,
89,1,2022年の統計で、この国の対日本輸出・輸入量は、太平洋島嶼国14カ国の内、何位だったか。,1位,4位,6位,9位,3,,,
90,1,チューク州にある珊瑚礁は、他の3州とは違う形で形成されているが、その形の名称は？,環礁（かんしょう）,裾礁（きょしょう）,堡礁（ほしょう）,卓礁（たくしょう）,3,,,
91,2,カトリック教会のヘーゼル神父は1972年以降、40年間以上にわたり、島々の歴史や文化に関わる資料の収集活動を行ってきた。これら資料をヤップ州で公開している団体名称は？,ハベレ教育財団 (Habele Outer Island Education Fund),マイクロネシアン・セミナー (Micronesian Seminar),マイクロネシアン・コミュニティ（Micronesian Islanders Community）,ミクロネシア保全信託基金 (Micronesian Conservation Trust）,2,,,
92,1,1890年、帆船「天祐丸」をミクロネシアの島々に向かわせ、初めて交易を行った会社は？,一屋商会,南島商会,快通社,恒信社,2,,,
93,1,信託統治領時代、米国は経済的援助はするが、経済発展のための支援はしなかった。この政策を揶揄した言葉は？,囲い込み政策,張りぼて政策,パッケージ政策,動物園政策,4,,,
94,1,ナンマトル遺跡が建設された当時存在したとされる伝説の王朝の名前は何か？,オロソパ王朝,ナンマルキ王朝,イソケレケル王朝,シャウテレウル王朝,4,,,
95,2,1975年の沖縄海洋博覧会に、サタワル島からやってきた帆走カヌーの名前は？,ペサウ号,ハワイキヌイ号,ホクレア号,チェチェメニ号,4,,,
96,1,ヤップ州本島とその東に位置する島々との間で行われる交易を、何というか？,クラ交易,サウェイ交易,セピック沿岸交易,コハ交易,2,,,
97,1,ヤップ州の離島における伝統的酋長が集まる会議をなんというか。,タモル会議,カマテップ議会,ファルー会合,ペパイ集会,1,,,
98,1,ナンマトル遺跡を構成する人工島のうち、最も古く建造されたと言われる人工島はいつ頃造られたか。,紀元前300年ごろ,西暦100年ごろ,西暦500年ごろ,西暦900年ごろ,3,,,
99,1,ナンマトル遺跡を支配したシャウレテル王朝を倒し、コスラエの英雄として祀られる伝説上の人物は？,サウ・デ・モイ,イショレケル,ルク・エン・メイ・モア,サムエル・ハドラー,2,,,
100,1,12世期から14世紀にかけて、コスラエ島で繁栄した王朝が建造した遺跡とは？,キンジェル・フェラト遺跡,ナンタワス遺跡,レラ遺跡,ムア遺跡,3,,,
101,1,コスラエにある洞窟で、昔巨人が住んでいたと伝承される洞窟の名前は何か？,パーン・タカイ洞窟,ウルーレン・ルー・ラーン洞窟,パーンナイアウ洞窟,ウィヤ・バード洞窟 ,4,,,
102,1,ドイツ領時代に、行政の手法に反発してポンペイ住民が起こした戦いはなにか。,ヴァイレレの戦い,ビタ・パカ戦争,ソーケスの反乱,ナグリアメル闘争,3,,,
103,1,米国が信託統治領ミクロネシアを将来的に自国領土化するための極秘文書が作成された。それは何か？,ニクソン調査書,安全保障決議書-21,ソロモン・レポート,ケネディ報告書,3,,,
104,1,信託統治領時代の旗には星が6つ描かれていたが、現在のミクロネシア連邦国旗には4つ。その理由は？,筆記問題,ミクロネシアの6島をまとめて連邦として独立しようとしていたが、途中でパラオとマーシャル諸島が脱退したから,,,2,,,
105,1,ミクロネシア連邦ではキリスト教が信仰されているが、州によってカトリックとプロテスタントの割合が変わっている。この理由は何か。,筆記問題,連邦の西側は、カトリック国のスペインが首都を置いたためで、連邦の東側には、スペインの後に島を統治したドイツが拠点を置いたから。,,,2,,,
106,1,1986年に米国から事実上独立したが、国際的に独立が認められたのは1990年12月。この原因は？,筆記問題,ミクロネシア地域は国連安保理の戦略地区に指定されていたため、独立には、安保理決議が必要だったから。,,,2,,,
107,3,ヤップでは、伝統的な貨幣が存在する。その貨幣は何でできている？,コウモリの牙,赤い羽根で装飾した巻き糸,魚の歯,石,4,,,
108,4,この国の総人口は？,4万人,11万人,37万人,111万人,2,,,
109,4,この国の首都は？,マルキョク,スバ,ホニアラ,パリキール,4,,,
110,4,2024年10月現在の大統領は？,ウェスレー・W・シミナ,デイビッド・W・パニュエロ,ジョセフ・J・ウルセマル,ピーター・クリスチャン,1,,,
111,4,この国の州の数は？,4,7,11,35,1,,,
112,2,太平洋戦争で日本海軍の重要拠点となり、1944年の米海軍との戦場になった場所は？,ヤップ,トラック,ポナペ,クサイ,2,,,
113,2,ヤップ州にはお祝い事の時に、カラフルな衣装に身を包み、踊りと歌で伝承を伝える文化がある。その名称は？,レープ（Lehp）,ケピール（Kepir）,トキア（Tokia）,チュウル（Churu）,4,,,
114,2,ポンペイ州の冠婚葬祭で、最高級のもてなしとされる料理に使われる素材は何か？,鶏,豚,羊,牛,2,,,
